epoch,elapsed_seconds,lr,best_val,improved,epochs_without_improvement,train_cost,train_log_move,train_model_move,train_move,train_router_balance,train_router_boundary,train_router_entropy,train_samples,train_sync_move,train_total,val_cost,val_log_move,val_model_move,val_move,val_router_balance,val_router_boundary,val_router_entropy,val_samples,val_sync_move,val_total,gap_cost,gap_log_move,gap_model_move,gap_move,gap_router_balance,gap_router_boundary,gap_router_entropy,gap_sync_move,gap_total
1,55.82819228526205,0.0005,1.0324897770769894,1,0,1.0903074771115209,0.47344904752389994,0.49956004561681766,1.2051563864715718,0.03965430240205592,0.29377870118423743,0.990797310063499,2048.0,0.23214729333085415,1.2421907353855204,0.547841135192887,0.39569244635640644,0.44836963087436743,1.0143520366109442,0.06260730358917499,0.04683589482010575,0.608080793346744,512.0,0.17028995938017033,1.0324897770769894,-0.5424663419186339,-0.0777566011674935,-0.05119041474245023,-0.19080434986062755,0.02295300118711907,-0.24694280636413168,-0.382716516716755,-0.061857333950683824,-0.20970095830853097
2,48.44117006473243,0.0005,0.9782116689020768,1,0,0.6099004970998513,0.4553744723962154,0.45037995686288923,1.1263546386180678,0.060310068694889196,0.062489041745038776,0.4902552960393223,2048.0,0.22060020935896318,1.1463699013838777,0.49180920462363886,0.382741131586954,0.41519751760642976,0.962148348793562,0.06895081179391127,0.03492789864685619,0.2702620770141948,512.0,0.16420969960017828,0.9782116689020768,-0.11809129247621242,-0.07263334080926143,-0.035182439256459475,-0.1642062898245058,0.008640743099022075,-0.027561143098182583,-0.21999321902512747,-0.0563905097587849,-0.16815823248180095
3,44.243560881353915,0.0005,0.9374365032999776,1,0,0.5672927892966009,0.44319220003671944,0.43346459158783546,1.0848676095392875,0.06426948223815998,0.05141566630379657,0.31593508082187327,2048.0,0.20821081791473262,1.103359178538085,0.4341898689813313,0.37349775072652847,0.3952575652510859,0.9233533426158829,0.07139440650644246,0.014276957509991917,0.20074902238775394,512.0,0.1545980266382685,0.9374365032999776,-0.1331029203152696,-0.06969444931019098,-0.03820702633674955,-0.16151426692340465,0.007124924268282484,-0.03713870879380465,-0.11518605843411933,-0.05361279127646412,-0.16592267523810733
4,40.288177287206054,0.0005,0.9266132708871737,1,0,0.5450998995677229,0.4293192201294005,0.4255056133697508,1.0645219278358127,0.0656420035602423,0.0356511132094397,0.26769923228539483,2048.0,0.2096970943366614,1.082155555690406,0.4638581587672448,0.3666126917814836,0.3908165510511026,0.9116276040513185,0.07053261240071151,0.01397638556363745,0.2248341193444503,512.0,0.15419836121873232,0.9266132708871737,-0.08124174080047808,-0.0627065283479169,-0.03468906231864821,-0.1528943237844942,0.004890608840469213,-0.02167472764580225,-0.04286511294094453,-0.05549873311792908,-0.15554228480323218
5,40.48427547886968,0.0005,0.9026581548969261,1,0,0.5352460806342054,0.43263536888116505,0.4227467731543584,1.0573941482980445,0.06573309303348651,0.032441218169054764,0.25707265462710893,2048.0,0.20201200626252103,1.0746903472172562,0.4165672005088351,0.35886058866162784,0.38180803263094276,0.889026442571776,0.07014595265354728,0.019122919378105507,0.24200328533879656,512.0,0.14835782127920538,0.9026581548969261,-0.11867888012537031,-0.0737747802195372,-0.04093874052341562,-0.16836770572626847,0.004412859620060772,-0.013318298790949257,-0.015069369288312373,-0.053654184983315645,-0.17203219232033007
6,40.183989132754505,0.0005,0.8922975411987863,1,0,0.5212971971694763,0.43197134564979933,0.41598646412603557,1.0565605482188403,0.06488306954815926,0.04251965509908473,0.2707778350359149,2048.0,0.20860273844300536,1.073544267404941,0.4219505817783329,0.3468246977427043,0.37700138476793654,0.8784430265295669,0.0691449132427806,0.024278780203758288,0.2617578626250179,512.0,0.154616944018926,0.8922975411987863,-0.09934661539114342,-0.08514664790709503,-0.03898507935809903,-0.17811752168927342,0.004261843694621348,-0.018240874895326442,-0.009019972410897026,-0.05398579442407936,-0.18124672620615456
7,40.559591432102025,0.0005,0.8718398431665264,1,0,0.5121657350844051,0.423820937074197,0.4130375569293392,1.0348473272442789,0.0644357009396117,0.036794798428196884,0.28819565886078635,2048.0,0.19798883324074268,1.0515128014885704,0.3979287950471413,0.3362676320539322,0.37192906023119576,0.8588066234151484,0.068200035027985,0.011851991170374276,0.294836544435384,512.0,0.1506099311300204,0.8718398431665264,-0.11423694003726381,-0.08755330502026482,-0.041108496698143426,-0.1760407038291305,0.003764334088373289,-0.024942807257822608,0.0066408855745976325,-0.047378902110722265,-0.179672958322044
8,39.930092736147344,0.0005,0.8588395964470692,1,0,0.49293301059485073,0.4256358003403875,0.4076863722220878,1.0363165776016103,0.06374038533067505,0.03521376391357478,0.30551624056852233,2048.0,0.20299440503913502,1.052399625434191,0.4539994933268332,0.33880597658571787,0.359665455063805,0.8440057934203651,0.06695212927661487,0.021610103529212665,0.32820583578723017,512.0,0.14553436177084222,0.8588395964470692,-0.038933517268017526,-0.08682982375466963,-0.04802091715828283,-0.19231078418124525,0.0032117439459398156,-0.013603660384362115,0.022689595218707836,-0.05746004326829279,-0.19356002898712177
9,40.72524380777031,0.0005,0.849579455476487,1,0,0.4994850656101805,0.41835550865653204,0.40232017759262817,1.0140947166164551,0.06403032891375915,0.03709518945077406,0.2844996570283911,2048.0,0.1934190303672949,1.0303750198509078,0.3894418145682721,0.32974311188445427,0.362098138051806,0.8366765401297016,0.06710221678076778,0.026036964926049677,0.2882735684797808,512.0,0.14483529019344132,0.849579455476487,-0.11004325104190843,-0.08861239677207777,-0.04022203954082215,-0.1774181764867535,0.003071887867008627,-0.01105822452472438,0.003773911451389722,-0.048583740173853585,-0.1807955643744208
10,40.55822699703276,0.0005,0.8458344551327173,1,0,0.47871905336008613,0.41796046190575,0.40159190528356703,1.017225533085366,0.06411468545047683,0.028285923980664762,0.27831304483288477,2048.0,0.19767316589604889,1.0327894243528135,0.39644771925065925,0.33253886867896654,0.3563674182223622,0.8328290907447808,0.06717240284342552,0.016757418256901246,0.27263648053849465,512.0,0.14392280384345213,0.8458344551327173,-0.08227133410942689,-0.08542159322678344,-0.045224487061204854,-0.18439644234058505,0.003057717392948689,-0.011528505723763516,-0.0056765642943901184,-0.053750362052596756,-0.18695496922009625
